the,14769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to,12127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ect,11363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for,6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hou,5936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enron,5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,4820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on,4789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of,4609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,4315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,3912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,3868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in,3689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be,2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,2971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
will,2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that,2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,2588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,2380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gas,2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
please,2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deal,2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subject,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,2089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
with,2058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meter,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
am,1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc,1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpl,1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
are,1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
your,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not,1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daren,1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
or,1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thanks,1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp,1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
any,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
know,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmbtu,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forwarded,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
was,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
need,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
has,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmer,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attached,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
should,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
let,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
our,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xls,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
